fname,label
eight_kesavRectrain_13.wav,eight
eight_kesavRectrain_14.wav,eight
eight_kesavRectrain_15.wav,eight
eight_kesavRectrain_16.wav,eight
eight_kesavRectrain_17.wav,eight
eight_kesavRectrain_18.wav,eight
eight_kesavRectrain_19.wav,eight
five_kesavRectrain_13.wav,five
five_kesavRectrain_14.wav,five
five_kesavRectrain_15.wav,five
five_kesavRectrain_16.wav,five
five_kesavRectrain_17.wav,five
five_kesavRectrain_18.wav,five
five_kesavRectrain_19.wav,five
four_kesavRectrain_13.wav,four
four_kesavRectrain_14.wav,four
four_kesavRectrain_15.wav,four
four_kesavRectrain_16.wav,four
four_kesavRectrain_17.wav,four
four_kesavRectrain_18.wav,four
four_kesavRectrain_19.wav,four
nine_kesavRectrain_13.wav,nine
nine_kesavRectrain_14.wav,nine
nine_kesavRectrain_15.wav,nine
nine_kesavRectrain_16.wav,nine
nine_kesavRectrain_17.wav,nine
nine_kesavRectrain_18.wav,nine
nine_kesavRectrain_19.wav,nine
one_kesavRectrain_13.wav,one
one_kesavRectrain_14.wav,one
one_kesavRectrain_15.wav,one
one_kesavRectrain_16.wav,one
one_kesavRectrain_17.wav,one
one_kesavRectrain_18.wav,one
one_kesavRectrain_19.wav,one
seven_kesavRectrain_13.wav,seven
seven_kesavRectrain_14.wav,seven
seven_kesavRectrain_15.wav,seven
seven_kesavRectrain_16.wav,seven
seven_kesavRectrain_17.wav,seven
seven_kesavRectrain_18.wav,seven
seven_kesavRectrain_19.wav,seven
six_kesavRectrain_13.wav,six
six_kesavRectrain_14.wav,six
six_kesavRectrain_15.wav,six
six_kesavRectrain_16.wav,six
six_kesavRectrain_17.wav,six
six_kesavRectrain_18.wav,six
six_kesavRectrain_19.wav,six
ten_kesavRectrain_13.wav,ten
ten_kesavRectrain_14.wav,ten
ten_kesavRectrain_15.wav,ten
ten_kesavRectrain_16.wav,ten
ten_kesavRectrain_17.wav,ten
ten_kesavRectrain_18.wav,ten
ten_kesavRectrain_19.wav,ten
three_kesavRectrain_13.wav,three
three_kesavRectrain_14.wav,three
three_kesavRectrain_15.wav,three
three_kesavRectrain_16.wav,three
three_kesavRectrain_17.wav,three
three_kesavRectrain_18.wav,three
three_kesavRectrain_19.wav,three
two_kesavRectrain_13.wav,two
two_kesavRectrain_14.wav,two
two_kesavRectrain_15.wav,two
two_kesavRectrain_16.wav,two
two_kesavRectrain_17.wav,two
two_kesavRectrain_18.wav,two
two_kesavRectrain_19.wav,two
