fname,label
eight_kesavRectrain_0.wav,eight
eight_kesavRectrain_1.wav,eight
eight_kesavRectrain_2.wav,eight
eight_kesavRectrain_3.wav,eight
eight_kesavRectrain_4.wav,eight
eight_kesavRectrain_5.wav,eight
eight_kesavRectrain_6.wav,eight
eight_kesavRectrain_7.wav,eight
eight_kesavRectrain_8.wav,eight
eight_kesavRectrain_9.wav,eight
eight_kesavRectrain_10.wav,eight
eight_kesavRectrain_11.wav,eight
eight_kesavRectrain_12.wav,eight
five_kesavRectrain_0.wav,five
five_kesavRectrain_1.wav,five
five_kesavRectrain_2.wav,five
five_kesavRectrain_3.wav,five
five_kesavRectrain_4.wav,five
five_kesavRectrain_5.wav,five
five_kesavRectrain_6.wav,five
five_kesavRectrain_7.wav,five
five_kesavRectrain_8.wav,five
five_kesavRectrain_9.wav,five
five_kesavRectrain_10.wav,five
five_kesavRectrain_11.wav,five
five_kesavRectrain_12.wav,five
four_kesavRectrain_0.wav,four
four_kesavRectrain_1.wav,four
four_kesavRectrain_2.wav,four
four_kesavRectrain_3.wav,four
four_kesavRectrain_4.wav,four
four_kesavRectrain_5.wav,four
four_kesavRectrain_6.wav,four
four_kesavRectrain_7.wav,four
four_kesavRectrain_8.wav,four
four_kesavRectrain_9.wav,four
four_kesavRectrain_10.wav,four
four_kesavRectrain_11.wav,four
four_kesavRectrain_12.wav,four
nine_kesavRectrain_0.wav,nine
nine_kesavRectrain_1.wav,nine
nine_kesavRectrain_2.wav,nine
nine_kesavRectrain_3.wav,nine
nine_kesavRectrain_4.wav,nine
nine_kesavRectrain_5.wav,nine
nine_kesavRectrain_6.wav,nine
nine_kesavRectrain_7.wav,nine
nine_kesavRectrain_8.wav,nine
nine_kesavRectrain_9.wav,nine
nine_kesavRectrain_10.wav,nine
nine_kesavRectrain_11.wav,nine
nine_kesavRectrain_12.wav,nine
one_kesavRectrain_0.wav,one
one_kesavRectrain_1.wav,one
one_kesavRectrain_2.wav,one
one_kesavRectrain_3.wav,one
one_kesavRectrain_4.wav,one
one_kesavRectrain_5.wav,one
one_kesavRectrain_6.wav,one
one_kesavRectrain_7.wav,one
one_kesavRectrain_8.wav,one
one_kesavRectrain_9.wav,one
one_kesavRectrain_10.wav,one
one_kesavRectrain_11.wav,one
one_kesavRectrain_12.wav,one
seven_kesavRectrain_0.wav,seven
seven_kesavRectrain_1.wav,seven
seven_kesavRectrain_2.wav,seven
seven_kesavRectrain_3.wav,seven
seven_kesavRectrain_4.wav,seven
seven_kesavRectrain_5.wav,seven
seven_kesavRectrain_6.wav,seven
seven_kesavRectrain_7.wav,seven
seven_kesavRectrain_8.wav,seven
seven_kesavRectrain_9.wav,seven
seven_kesavRectrain_10.wav,seven
seven_kesavRectrain_11.wav,seven
seven_kesavRectrain_12.wav,seven
six_kesavRectrain_0.wav,six
six_kesavRectrain_1.wav,six
six_kesavRectrain_2.wav,six
six_kesavRectrain_3.wav,six
six_kesavRectrain_4.wav,six
six_kesavRectrain_5.wav,six
six_kesavRectrain_6.wav,six
six_kesavRectrain_7.wav,six
six_kesavRectrain_8.wav,six
six_kesavRectrain_9.wav,six
six_kesavRectrain_10.wav,six
six_kesavRectrain_11.wav,six
six_kesavRectrain_12.wav,six
ten_kesavRectrain_0.wav,ten
ten_kesavRectrain_1.wav,ten
ten_kesavRectrain_2.wav,ten
ten_kesavRectrain_3.wav,ten
ten_kesavRectrain_4.wav,ten
ten_kesavRectrain_5.wav,ten
ten_kesavRectrain_6.wav,ten
ten_kesavRectrain_7.wav,ten
ten_kesavRectrain_8.wav,ten
ten_kesavRectrain_9.wav,ten
ten_kesavRectrain_10.wav,ten
ten_kesavRectrain_11.wav,ten
ten_kesavRectrain_12.wav,ten
three_kesavRectrain_0.wav,three
three_kesavRectrain_1.wav,three
three_kesavRectrain_2.wav,three
three_kesavRectrain_3.wav,three
three_kesavRectrain_4.wav,three
three_kesavRectrain_5.wav,three
three_kesavRectrain_6.wav,three
three_kesavRectrain_7.wav,three
three_kesavRectrain_8.wav,three
three_kesavRectrain_9.wav,three
three_kesavRectrain_10.wav,three
three_kesavRectrain_11.wav,three
three_kesavRectrain_12.wav,three
two_kesavRectrain_0.wav,two
two_kesavRectrain_1.wav,two
two_kesavRectrain_2.wav,two
two_kesavRectrain_3.wav,two
two_kesavRectrain_4.wav,two
two_kesavRectrain_5.wav,two
two_kesavRectrain_6.wav,two
two_kesavRectrain_7.wav,two
two_kesavRectrain_8.wav,two
two_kesavRectrain_9.wav,two
two_kesavRectrain_10.wav,two
two_kesavRectrain_11.wav,two
two_kesavRectrain_12.wav,two

